,,Month,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10
,,Year,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
Latitude,Longitude,Locality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-23.870556,-45.440644,Ilhabela-SP,26,26,26,27,24,22,22,22,23,22,25,25,25,25,28,28,25,25,23,23,23,25,24,25,27,29,29,27,23,23,22,23,23,23,27,24,29,28,29,27,24,22,21,20,21,23,23,28,27,27,26,27,24,23,22,22,21,23,23,25,,27,28,26,25,22,22,21,24,25,26,26,30,29,26,26,25,22,23,21,22,23,24,26,29,30,26,27,24,22,21,21,21,22,23,25,26,26,26,26,24,22,22,22,22,23,23,25,26,28,27,25,25,23,21,21,22,22,23,28,29,30,28,26,24,23,22,22,23,23
-22.753889,-41.901111,Armacao dos Buzios-RJ,25,24,25,25,24,23,22,22,21,22,23,25,24,25,26,25,25,23,22,22,22,23,23,24,24,27,27,26,25,23,22,22,22,22,23,24,25,25,26,26,23,23,22,22,22,22,22,24,24,26,27,26,24,24,22,22,22,22,23,24,25,26,26,26,24,23,22,22,22,23,23,25,25,25,27,26,25,23,22,21,21,22,24,25,25,25,26,25,25,22,22,21,21,22,22,23,23,23,24,25,24,23,23,23,21,21,23,25,25,25,25,24,24,24,23,22,22,22,23,26,25,24,24,25,24,23,22,21,21,22
-22.967778,-42.006011,Arraial do Cabo- RJ,25,24,25,25,23,23,23,21,21,21,22,25,25,25,26,25,25,23,22,22,22,23,23,25,24,25,27,26,25,23,22,22,22,22,22,24,24,25,26,26,24,22,22,22,21,23,22,24,23,25,26,26,24,24,22,22,22,22,24,23,25,25,26,26,24,23,22,22,22,23,24,26,26,25,27,26,25,23,22,21,21,22,24,25,25,25,26,25,24,22,22,21,20,22,21,22,23,22,24,25,24,24,23,22,20,22,23,24,26,24,25,24,24,24,23,22,22,23,22,26,25,23,25,25,24,23,22,21,20,21
-17.966867,-39.197817,Abrolhos-BA,27,28,27,27,27,26,25,24,25,26,26,27,28,28,29,28,26,26,25,25,26,26,27,27,28,28,28,28,26,25,24,25,24,25,26,27,27,28,28,28,27,25,25,25,25,25,26,26,27,28,28,29,27,26,24,25,25,26,26,26,27,28,28,28,27,26,25,26,26,27,26,27,28,29,29,28,28,25,25,24,25,25,27,27,27,28,28,28,26,25,25,25,25,25,26,27,27,27,27,27,26,26,25,25,25,26,26,27,27,28,28,27,27,26,25,25,25,26,27,26,27,29,28,29,27,26,25,25,25,25
-7.1129,-34.812975,Jo‹o Pessoa-PB,29,29,29,29,28,27,27,26,26,28,28,28,29,30,30,30,28,28,27,26,27,28,28,29,28,29,30,31,28,27,27,27,27,28,28,29,29,30,29,29,28,27,27,26,26,27,28,29,29,30,30,29,29,28,26,26,27,28,28,29,29,30,30,30,30,28,27,28,28,28,28,29,29,30,31,30,29,28,27,26,26,28,28,29,29,30,30,30,29,28,26,27,26,27,28,28,29,29,29,29,28,28,27,26,26,27,29,29,30,29,30,30,29,28,27,27,27,28,28,28,29,29,30,30,29,28,27,27,27,27
-3.866778,-33.802047,Atol das Rocas-RN,28,28,28,28,28,28,27,26,27,27,27,27,28,28,29,29,28,28,27,27,26,26,27,27,27,28,29,29,29,28,27,27,27,27,27,27,27,28,29,29,28,28,27,26,26,26,27,27,27,28,29,29,29,28,28,27,26,27,27,27,28,28,29,30,30,29,27,27,26,27,27,27,28,28,29,30,30,29,28,27,27,27,28,27,28,28,29,29,29,28,28,27,26,27,27,27,27,27,28,28,28,28,27,27,26,26,27,27,27,28,28,29,29,28,27,27,27,27,27,27,27,28,28,29,29,28,27,27,26,26
-3.598289,-38.406592,Fortaleza-CE,28,28,29,29,28,28,27,27,27,27,27,28,28,29,29,29,29,28,27,27,27,27,27,28,28,28,29,29,29,28,27,27,27,27,27,28,28,29,29,29,29,28,27,26,26,26,27,28,28,29,30,29,29,28,27,27,27,27,27,28,28,28,29,30,30,29,28,27,27,27,27,28,29,29,30,29,29,29,28,27,27,27,28,28,28,29,29,29,29,28,28,27,27,27,27,27,28,28,28,28,28,28,27,27,26,27,27,28,28,28,29,29,29,28,28,27,27,27,27,28,28,28,29,29,29,28,27,27,27,27
